Sample.Name	sample_number	Cruise	Event	Order_Occ	Sta_ID	line	station	Cast_Type	Cardinal_Sta	Station_Notes	Bottle	Assoc_Bottle	Depthm	Bottle_Notes	NCOG_DNA	NCOG_RNA	DNA_VolFilt	RNA_VolFilt	Pump_Speed	DNA_RNA_Vol_Notes	Filt_Str	Filt_End	Date	Time	DateTime	Lat_Dec	Lon_Dec	Distance	NoCCSamples	DelDepth	CC_Depth	T_degC	Salnty	STheta	O2ml_L	PO4ug	SiO3ug	NO3ug	NH3ug	ChlorA	Phaeop	RecInd	Code_CCE	IntChl	IntC14	MLD_Sigma	NCDepth	Spike1	Spike8	depth_category
201402_090.0_110.0_63	NR0001	201402	218	19	090.0 110.0	90	110	Prodo	FALSE		17	16	63		TRUE	TRUE	2.2	6.29	330		1352	1420	2/1/2014	19:57	2/1/14 19:57	30.75532	-123.337	-328.3250122	2	1	62	14.85400009	33.23669815	24.64903069	5.774000168	0.340000004	2.730000019	0	0.050000001	0.236000001	0.145999998	3	Off	25.5	84	39.98497532	79.0000004	1457426284	546347754	DCM
201402_090.0_110.0_20	NR0002	201402	218	19	090.0 110.0	90	110	Prodo	FALSE		22	24	20	Bot 23 10m misfired	TRUE	TRUE	2.2	4.4	330	Not enough water so sampled from Bot 24 0m and Bot 22 20m; mixlayer	1352	1411	2/1/2014	19:57	2/1/14 19:57	30.75532	-123.337	-328.3250122	2	0	20	15.48499966	33.29550171	24.55407906	5.71600008	0.330000013	2.50999999	0	0.039999999	0.160999998	0.041999999	3	Off	25.5	84	39.98497532	79.0000004	1457426284	546347754	DCM
201402_090.0_080.0_30	NR0003	201402	261	22	090.0 080.0	90	80	Prodo	FALSE	early prodo cast	18	17	30	did not get to samples right away, sat for one hour before filtering	TRUE	TRUE	2.2	4.336	330		1136	1206	2/2/2014	16:46	2/2/14 16:46	31.7482	-121.30912	-208.4440002	2	0	30	14.05500031	33.13000107	24.73335075	5.934999943	0.370000005	3.079999924	0.200000003	0.140000001	0.492000014	0.163000003	3	CC	33.70000076	257.2999878	43.22415862	49.66666683	1457426284	546347754	DCM
201402_090.0_080.0_10	NR0004	201402	261	22	090.0 080.0	90	80	Prodo	FALSE	early prodo cast	22	21	10	did not get to samples right away, sat for one hour before filtering	TRUE	TRUE	2.2	4.902	330		1136	1206	2/2/2014	16:46	2/2/14 16:46	31.7482	-121.30912	-208.4440002	2	-2	12	14.05500031	33.13259888	24.73428917	5.93200016	0.370000005	3.059999943	0.200000003	0.129999995	0.483999997	0.153999999	3	CC	33.70000076	257.2999878	43.22415862	49.66666683	1457426284	546347754	Surface
201404_090.0_100.0_11	NR0005	201404	225	20	090.0 100.0	90	100	Prodo	FALSE		23	22	11		TRUE	TRUE	2.2	6.45	330		1101	1125	4/5/2014	17:12	4/5/14 17:12	31.08138	-122.6518	-288.0069885	2	0	11	16.28499985	33.45389938	24.49542046	5.645999908	0.289999992	2.359999895	0.100000001	0.280000001	0.066	0.01	3	Off	20.39999962	89.40000153	53.76210503	98.20000005	1457426284	546347754	Surface
201404_090.0_100.0_102	NR0006	201404	225	20	090.0 100.0	90	100	Prodo	FALSE		13	12	102		TRUE	TRUE	2.2	6.32	330		1101	1125	4/5/2014	17:12	4/5/14 17:12	31.08138	-122.6518	-288.0069885	2	-4	106	13.04399967	33.33449936	25.10042953	5.59100008	0.49000001	3.74000001	2.299999952	0.129999995	0.256000012	0.175999999	3	Off	20.39999962	89.40000153	53.76210503	98.20000005	1457426284	546347754	DCM
201404_090.0_060.0_12	NR0007	201404	257	23	090.0 060.0	90	60	Prodo	FALSE		23	22	12		TRUE	TRUE	1.04	6.29	330		1232	1258	4/6/2014	19:17	4/6/14 19:17	32.41808	-119.953	-128.6349945	2	0	12	14.92599964	33.40750122	24.76195908	5.888999939	0.400000006	2.450000048	0	0.100000001	0.331999987	0.101999998	3	CC	30.89999962	369.5	14.99247376	52.66666672	1457426284	546347754	Surface
201404_090.0_060.0_49	NR0008	201404	257	23	090.0 060.0	90	60	Prodo	FALSE		18	17	49		TRUE	TRUE	1.04	6.39	330		1232	1258	4/6/2014	19:17	4/6/14 19:17	32.41808	-119.953	-128.6349945	2	-1	50	14.68799973	33.39239883	24.80386925	5.81099987	0.430000007	2.680000067	0.200000003	0.370000005	0.307000011	0.137999997	3	CC	30.89999962	369.5	14.99247376	52.66666672	1457426284	546347754	DCM
201404_090.0_030.0_8	NR0009	201404	316	27	090.0 030.0	90	30	Prodo	FALSE		23	22	8		TRUE	TRUE	1.04	4.87	330		1144	1206	4/7/2014	17:58	4/7/14 17:58	33.42173	-117.90127	-9.029999733	2	0	8	15.36100006	33.48809814	24.72888947	6.210999966	0.289999992	1.029999971	0.100000001	0.079999998	0.481000006	0.211999997	3	SCB	54.40000153	816.5	11.37786207	20.50000004	1457426284	546347754	Surface
201404_090.0_030.0_25	NR0010	201404	316	27	090.0 030.0	90	30	Prodo	FALSE		19	19	25		TRUE	TRUE	1.04	4.35	330		1144	1206	4/7/2014	17:58	4/7/14 17:58	33.42173	-117.90127	-9.029999733	2	0	25	13.35299969	33.43450165	25.11178017	5.464000225	0.610000014	4.230000019	2.799999952	0.150000006	1.952999949	0.980000019	3	SCB	54.40000153	816.5	11.37786207	20.50000004	1457426284	546347754	DCM
